,Year,MSL
335,1952,-0.109
336,1952,-0.076
337,1952,-0.073
338,1953,-0.10099999999999999
339,1953,-0.07
340,1953,-0.068
341,1953,-0.113
342,1953,-0.133
343,1953,-0.126
344,1953,-0.079
345,1953,-0.11800000000000001
346,1953,-0.122
347,1953,-0.109
348,1953,-0.109
349,1953,-0.146
350,1955,-0.14
351,1955,-0.212
352,1955,-0.17600000000000002
353,1955,-0.198
354,1956,-0.165
355,1956,-0.14
356,1956,-0.132
357,1956,-0.08900000000000001
358,1956,-0.11800000000000001
359,1956,-0.11699999999999999
360,1956,-0.11199999999999999
361,1956,-0.099
362,1956,-0.14300000000000002
363,1956,-0.14800000000000002
364,1956,-0.11800000000000001
365,1956,-0.125
366,1957,-0.107
367,1957,-0.079
368,1957,-0.096
369,1957,-0.067
370,1957,-0.057
371,1957,-0.026000000000000002
372,1957,-0.03
373,1957,-0.026000000000000002
374,1957,-0.067
375,1957,-0.039
376,1957,-0.024
377,1957,0.019
378,1958,0.003
379,1958,-0.021
380,1958,-0.013000000000000001
381,1958,-0.034
382,1958,-0.069
383,1958,-0.09
384,1958,-0.08800000000000001
385,1958,-0.017
386,1958,-0.0
387,1958,0.001
388,1958,-0.018000000000000002
389,1958,-0.018000000000000002
390,1959,-0.003
391,1959,-0.003
392,1959,-0.038
393,1959,-0.052000000000000005
394,1959,-0.06
395,1959,-0.040999999999999995
396,1959,-0.036000000000000004
397,1959,-0.028999999999999998
398,1959,-0.033
399,1959,-0.002
400,1959,-0.039
401,1959,0.019
402,1960,-0.07
403,1960,-0.121
404,1960,-0.071
405,1960,-0.07
406,1960,-0.066
407,1960,-0.11699999999999999
408,1960,-0.13
409,1960,-0.136
410,1960,-0.122
411,1960,-0.1
412,1960,-0.09699999999999999
413,1960,-0.10300000000000001
414,1961,-0.07
415,1961,-0.131
416,1961,-0.132
417,1961,-0.10099999999999999
418,1961,-0.163
419,1961,-0.138
420,1961,-0.11199999999999999
421,1961,-0.07200000000000001
422,1961,-0.106
423,1961,-0.133
424,1961,-0.109
425,1961,-0.076
426,1962,-0.08199999999999999
427,1962,-0.09699999999999999
428,1962,-0.15
429,1962,-0.095
430,1962,-0.102
431,1962,-0.135
432,1962,-0.16699999999999998
433,1962,-0.127
434,1962,-0.11199999999999999
435,1962,-0.1
436,1962,-0.14300000000000002
437,1962,-0.11900000000000001
438,1963,-0.052000000000000005
439,1963,-0.079
440,1963,-0.10800000000000001
441,1963,-0.08199999999999999
442,1963,-0.078
443,1963,-0.047
444,1963,-0.042
445,1963,-0.045
446,1963,-0.039
447,1963,-0.066
448,1963,-0.06
449,1963,-0.024
450,1964,-0.061
451,1964,-0.11199999999999999
452,1964,-0.11699999999999999
453,1964,-0.11
454,1964,-0.145
455,1964,-0.151
456,1964,-0.14
457,1964,-0.09
458,1964,-0.11900000000000001
459,1964,-0.124
460,1964,-0.14300000000000002
461,1964,-0.131
462,1965,-0.10099999999999999
463,1965,-0.027000000000000003
464,1965,-0.027999999999999997
465,1965,-0.012
466,1965,-0.11800000000000001
467,1965,-0.09
468,1965,-0.10300000000000001
469,1965,-0.039
470,1965,-0.036000000000000004
471,1965,-0.048
472,1965,-0.054000000000000006
473,1965,-0.009000000000000001
474,1966,-0.027999999999999997
475,1966,-0.085
476,1966,-0.068
477,1966,-0.006
478,1966,-0.02
479,1966,-0.032
480,1966,-0.042
481,1966,0.004
482,1966,-0.048
483,1966,-0.048
484,1966,-0.091
485,1966,-0.076
486,1967,-0.021
487,1967,-0.073
488,1967,-0.059000000000000004
489,1967,-0.052000000000000005
490,1967,-0.002
491,1967,0.017
492,1967,0.004
493,1967,0.035
494,1967,-0.015
495,1967,-0.078
496,1967,-0.027000000000000003
497,1967,-0.049
498,1968,-0.027999999999999997
499,1968,-0.021
500,1968,-0.096
501,1968,-0.07
502,1968,-0.063
503,1968,-0.08
504,1968,-0.085
505,1968,-0.075
506,1968,-0.079
507,1968,-0.06
508,1968,-0.051
509,1968,-0.067
510,1969,-0.003
511,1969,-0.03
512,1969,-0.059000000000000004
513,1969,-0.043
514,1969,-0.054000000000000006
515,1969,-0.071
516,1969,-0.07200000000000001
517,1969,-0.051
518,1969,-0.048
519,1969,-0.008
520,1969,0.01
521,1969,-0.027000000000000003
522,1970,-0.10099999999999999
523,1970,-0.048
524,1970,-0.001
525,1970,-0.07
526,1970,-0.063
527,1970,-0.068
528,1970,-0.07200000000000001
529,1970,-0.075
530,1970,-0.08800000000000001
531,1970,-0.066
532,1970,-0.07
533,1970,-0.113
534,1971,-0.11
535,1971,-0.09699999999999999
536,1971,-0.126
537,1971,-0.08900000000000001
538,1971,-0.081
539,1971,-0.059000000000000004
540,1971,-0.048
541,1971,-0.06
542,1971,-0.115
543,1971,-0.13
544,1971,-0.131
545,1971,-0.11599999999999999
546,1972,-0.08199999999999999
547,1972,-0.076
548,1972,-0.022000000000000002
549,1972,-0.04
550,1972,-0.057
551,1972,-0.006999999999999999
552,1972,-0.045
553,1972,-0.017
554,1972,-0.036000000000000004
555,1972,0.004
556,1972,0.022000000000000002
557,1972,0.057999999999999996
558,1973,-0.061
559,1973,-0.006
560,1973,-0.055999999999999994
561,1973,-0.10099999999999999
562,1973,-0.078
563,1973,-0.083
564,1973,-0.091
565,1973,-0.09300000000000001
566,1973,-0.16699999999999998
567,1973,-0.136
568,1973,-0.161
569,1973,-0.131
570,1974,-0.098
571,1974,-0.106
572,1974,-0.068
573,1974,-0.055
574,1974,-0.035
575,1974,-0.028999999999999998
576,1974,-0.045
577,1974,-0.078
578,1974,-0.051
579,1974,-0.10300000000000001
580,1974,-0.09699999999999999
581,1974,-0.094
582,1975,-0.107
